DEEDED_ACREAGE,TOTAL_SALE_PRICE,HEATED_AREA
0.34,27000,1035
0.17,0,0
0.17,0,0
2.3,0,1206
0.32,157000,1558
1,80000,1504
0.55,65500,2864
0.41,100000,1263
0.5,1000,1904
0.23,0,1196
0.28,82000,1092
0.32,111000,1119
0.31,5000,1418
0.38,169000,2173
0.44,0,2256
0.54,70000,1446
0.2,0,1360
0.39,0,0
0.46,0,0
45.84,0,0
0.47,41000,1157
42.99,0,1366
69.18,0,2643
26.91,0,0
1.25,95000,768
1.25,95000,1053
1.25,95000,765
1.25,95000,1280
0.33,17500,2200
1.43,127000,1824
39.27,0,1460
39.27,0,1878
0.5,3000,0
10.59,0,1248
1.04,0,0
0.78,812500,4074
0.1,105000,1025
0.12,0,0
0.25,0,1232
0.12,0,0
0.12,0,1080
0.3,36500,3456
0.46,600,0
4,0,0
0.17,0,640
0.43,92500,1806
0.41,640000,3760
17.12,0,0
0.16,220000,1012
0.39,400000,2791
0.09,65000,0
0.4,230000,1359
0.39,500,1862
0.24,138500,2568
0.68,0,1170
0.58,0,1427
0.56,0,0
0.16,4500,1980
0.44,0,0
24.43,200000,0
1.37,4000,4329
0.27,0,1792
0.29,0,1440
0.37,140000,2460
0.43,30000,0
0.5,86000,1316
2.49,1700000,4050
2.49,1700000,4050
2.49,1700000,4560
2.49,1700000,2552
1,0,1769
90.1,0,1120
0.79,67000,1536
0.17,280000,819
3.74,0,0
4.17,0,3717
2.57,0,0
0.81,120000,1014
1.01,60000,1404
1.1,132500,1675
0.48,76500,1498
0.61,0,2124
0.53,0,1825
0.29,96000,1249
0.25,0,978
2.09,105000,4096
0.77,0,8960
0.88,0,2242
0.18,148000,750
0.32,148000,1050
1.44,0,1746
30,0,0
116.1,0,1008
0.09,29000,0
0.24,0,1080
0.76,0,1576
31.63,0,0
65.73,0,1008
28.75,0,0
16.36,0,0
0.08,0,1500
0.22,50000,840
36,0,0
48.76,0,0
0.35,80000,1000
62.41,0,0
0.9,0,3036
0.32,95000,1648
99,0,1568
0.14,285000,1495
0.11,299000,0
2,0,1226
0.39,64000,0
0.28,232000,2274
0.29,231000,2432
5.35,210000,2000
0.23,0,1264
0.41,0,0
0.19,91000,1283
0.23,95000,1673
0.3,78000,2223
0.25,143000,1752
0.59,98500,0
0.21,146500,1104
0.39,91000,1871
27.88,0,0
66.55,0,0
25,0,1721
165.55,0,2056
83,0,0
0.3,59000,1317
0.13,52000,0
0.13,165000,1104
0.63,0,2840
0.28,116500,1050
0.37,240000,2424
2.26,485000,4997
0.33,220000,2752
0.62,175000,1856
0.29,160000,2064
0.62,174500,2913
0.22,565000,2176
0.54,4500,1092
0.48,163000,1230
0.47,310000,1930
6.77,1351000,10000
0.58,15000,1318
2.01,1000,0
0.21,55000,744
0.25,314000,1685
0.41,35000,2211
6.36,149000,2436
0.44,0,1537
0.45,98000,1170
0.22,133000,1335
1.1,250000,2957
0.32,325000,1972
10,0,88616
10,0,28091
2.23,0,0
0.19,0,0
0.28,0,0
0.31,0,0
0.66,0,0
0.3,235000,1600
0.37,167000,1600
0.3,182000,1456
0.27,83500,1575
0.35,154000,1687
0.39,160000,1725
0.44,243000,2250
0.42,356000,2506
0.28,0,1687
0.31,70000,1687
0.33,29000,1575
0.4,184500,1575
0.48,199000,1687
0.36,115000,1212
0.39,123000,1456
0.46,29000,1575
0.33,170000,1716
0.28,61500,2200
0.27,32000,2012
0.24,205000,1712
0.21,202000,1600
0.25,157000,1575
0.29,107000,1926
0.39,59500,1668
0.38,32000,1875
0.36,185000,1640
0.35,43000,1550
0.41,30000,1575
0.3,22500,1875
0.27,56000,1575
0.33,136500,1875
0.28,28500,1650
0.31,126000,1725
0.39,127500,1183
0.26,120000,1625
0.23,53500,1215
0.22,24500,1595
0.27,170500,1396
0.23,29000,1839
0.26,88000,1830
0.24,120000,1687
0.21,36000,1725
0.31,73000,1912
0.28,28500,1125
0.39,37500,1150
0.51,184500,1889
0.31,170500,1575
0.33,220000,1600
0.3,235000,1420
0.26,21000,1250
0.29,145000,1600
0.29,200000,1606
0.29,155000,1600
0.3,33000,2139
0.31,77500,1737
0.29,129000,1620
0.31,74500,1612
0.29,29500,1506
0.21,140000,1575
0.32,116500,1612
0.25,201000,1650
0.25,132000,1866
0.28,129500,1225
0.29,125000,1411
0.27,64000,1725
0.27,97500,1200
0.28,230000,1572
0.27,0,1600
0.27,119000,1620
0.26,122000,1777
0.27,167500,1712
0.28,160000,1620
0.28,180000,1650
0.27,24000,1225
0.27,230000,1395
0.26,15000,1250
0.3,188000,2189
0.35,185500,2200
0.28,31500,2200
0.26,179000,1650
0.25,35500,2200
0.26,97000,1650
0.26,193500,1650
0.28,36000,1650
0.31,82000,1100
0.31,0,1100
0.33,205000,1650
0.33,90000,1100
0.26,150000,2328
0.26,180000,1650
0.27,26000,1100
0.29,192000,2145
0.06,0,0
0.33,171000,1300
0.35,0,0
0.3,25000,1462
0.19,150000,1188
0.23,110000,1200
0.32,91000,1188
0.2,103000,1100
0.15,109000,1188
0.23,80000,1320
0.31,94500,2400
0.17,135000,1020
0.14,110500,1020
0.3,113000,1224
0.24,68000,1320
0.44,169000,1320
0.21,19500,1188
0.3,90500,2400
0.32,0,2076
0.46,22000,1200
0.84,104000,1230
0.18,100000,1184
0.18,68000,1200
0.19,133500,1221
0.29,140000,1230
0.22,97000,1320
0.23,165000,1500
0.18,25500,1000
0.33,95000,1530
0.35,120000,1080
0.18,134000,1480
0.35,33500,2400
0.27,130000,2000
0.22,174000,1900
0.4,95000,1425
0.19,88000,1093
0.19,152000,1221
0.18,88000,1161
0.16,29000,1000
0.19,101000,920
0.19,23500,1118
0.28,165000,1152
0.27,88000,1254
0.25,100000,1050
0.23,112000,1080
0.23,109000,1080
0.21,36000,1020
3,130000,2022
0.61,50000,3579
0.38,0,1875
0.36,0,0
0.82,52000,648
0.29,31500,2569
0.26,140000,1080
0.3,190000,1563
0.4,257000,1776
0.15,525000,2286
1.27,0,2606
0.27,120000,1826
0.29,180000,1804
3.81,225000,2228
1.85,10000,0
6.81,20000,0
27.2,0,0
0.35,0,1490
0.54,300000,3294
0.28,307500,1334
0.48,0,0
0.29,215000,2328
5.03,0,0
0.7,301500,2769
14.68,0,0
0.86,232500,2824
65.35,0,0
3,5000,0
0.17,415000,1536
9.95,0,4711
0.47,97000,1841
0.47,82000,1688
7.51,0,1630
0.17,1000,864
0.17,0,816
21.36,0,0
13.69,0,0
0.63,240000,3688
17.8,0,0
0.39,7000,0
1.46,1500,1080
0.48,94000,1039
0.48,94000,1789
0.3,0,0
1.5,0,1523
8.82,2250000,1600
8.82,2250000,2100
5.85,140000,8240
5.85,140000,2000
1.33,0,46584
1.33,0,5376
0.32,370000,1228
0.3,195000,2010
0.43,130000,2353
0.58,230500,1486
0.47,245000,4074
0.64,146500,1706
0.42,330000,2926
0.4,35000,1858
0.34,105000,1296
0.34,105000,1176
0.46,0,1936
0.38,0,1260
0.38,0,1260
0.2,0,0
17,0,0
0.86,0,0
40.21,0,0
0.45,243000,3313
0.62,35000,2000
0.26,13500,1160
0.19,56500,1374
0.17,25000,1232
0.19,58000,1198
0.3,53000,0
0.83,0,2556
0.69,0,1008
0.69,0,1176
0.18,174000,1200
0.38,0,1305
0.17,0,1524
0.16,0,1184
0.24,0,1200
0.18,0,0
0.59,0,1352
0.59,0,1352
0.59,0,1352
0.25,35000,1500
0.14,45000,6000
0.41,75000,1746
0.17,55000,1168
0.28,0,1064
0.31,58000,1176
0.31,58000,1252
9.34,0,0
0.12,350000,4000
0.24,145000,2272
0.43,52000,1762
43.9,0,0
0.34,0,1104
0.29,70000,1426
5.36,0,0
0.46,0,0
1.68,250000,2366
1.58,373000,2727
3.31,0,3525
3.12,149500,3421
2.24,325000,2278
1.84,0,0
0.35,0,616
0.35,0,1246
1.65,410000,3319
4.69,0,0
175.85,0,0
2.5,0,0
0.37,203500,2127
2.38,475000,4726
0.2,105000,1769
2.92,1500,0
113.01,0,0
8.25,14000,0
0.27,156500,1416
0.35,208000,1753
0.42,119000,2500
0.4,405000,3795
0.2,0,1705
0.2,0,1412
0.31,325000,2355
0.49,389000,2868
0.1,12500,1148
0.15,265000,1121
0.09,37500,1364
0.37,94000,1080
0.51,20000,0
