PHYSICAL_CITY,DEEDED_ACREAGE,TOTAL_SALE_PRICE,HEATED_AREA
RALEIGH,0.78,812500,4074
RALEIGH,0.1,105000,1025
RALEIGH,0.12,0,0
RALEIGH,0.25,0,1232
RALEIGH,0.12,0,0
RALEIGH,0.12,0,1080
RALEIGH,0.3,36500,3456
KNIGHTDALE,0.46,600,0
HOLLY SPRINGS,4,0,0
FUQUAY VARINA,0.17,0,640
FUQUAY VARINA,0.43,92500,1806
RALEIGH,0.41,640000,3760
RALEIGH,17.12,0,0
RALEIGH,0.16,220000,1012
RALEIGH,0.39,400000,2791
RALEIGH,0.09,65000,0
RALEIGH,0.4,230000,1359
KNIGHTDALE,0.39,500,1862
RALEIGH,0.24,138500,2568
RALEIGH,0.68,0,1170
RALEIGH,0.58,0,1427
RALEIGH,0.56,0,0
RALEIGH,0.16,4500,1980
RALEIGH,0.44,0,0
APEX,24.43,200000,0
WILLOW SPRING,1.37,4000,4329
RALEIGH,0.27,0,1792
CARY,0.29,0,1440
RALEIGH,0.37,140000,2460
APEX,0.43,30000,0
FUQUAY VARINA,0.5,86000,1316
RALEIGH,2.49,1700000,4050
RALEIGH,2.49,1700000,4050
RALEIGH,2.49,1700000,4560
RALEIGH,2.49,1700000,2552
RALEIGH,1,0,1769
RALEIGH,90.1,0,1120
RALEIGH,0.79,67000,1536
RALEIGH,0.17,280000,819
FUQUAY VARINA,3.74,0,0
FUQUAY VARINA,4.17,0,3717
HOLLY SPRINGS,2.57,0,0
HOLLY SPRINGS,0.81,120000,1014
HOLLY SPRINGS,1.01,60000,1404
HOLLY SPRINGS,1.1,132500,1675
RALEIGH,0.48,76500,1498
RALEIGH,0.61,0,2124
HOLLY SPRINGS,0.53,0,1825
RALEIGH,0.29,96000,1249
FUQUAY VARINA,0.25,0,978
FUQUAY VARINA,2.09,105000,4096
APEX,0.77,0,8960
CARY,0.88,0,2242
CARY,0.18,148000,750
CARY,0.32,148000,1050
FUQUAY VARINA,1.44,0,1746
FUQUAY VARINA,30,0,0
FUQUAY VARINA,116.1,0,1008
RALEIGH,0.09,29000,0
HOLLY SPRINGS,0.24,0,1080
HOLLY SPRINGS,0.76,0,1576
HOLLY SPRINGS,31.63,0,0
FUQUAY VARINA,65.73,0,1008
HOLLY SPRINGS,28.75,0,0
FUQUAY VARINA,16.36,0,0
FUQUAY VARINA,0.08,0,1500
FUQUAY VARINA,0.22,50000,840
FUQUAY VARINA,36,0,0
FUQUAY VARINA,48.76,0,0
FUQUAY VARINA,0.35,80000,1000
FUQUAY VARINA,62.41,0,0
FUQUAY VARINA,0.9,0,3036
FUQUAY VARINA,0.32,95000,1648
RALEIGH,99,0,1568
RALEIGH,0.14,285000,1495
RALEIGH,0.11,299000,0
RALEIGH,2,0,1226
CARY,0.39,64000,0
CARY,0.28,232000,2274
CARY,0.29,231000,2432
RALEIGH,5.35,210000,2000
FUQUAY VARINA,0.23,0,1264
FUQUAY VARINA,0.41,0,0
FUQUAY VARINA,0.19,91000,1283
RALEIGH,0.23,95000,1673
RALEIGH,0.3,78000,2223
RALEIGH,0.25,143000,1752
APEX,0.59,98500,0
