TOTAL_SALE_PRICE,HEATED_AREA
0,1246
410000,3319
0,0
0,0
0,0
203500,2127
475000,4726
105000,1769
1500,0
0,0
14000,0
156500,1416
208000,1753
119000,2500
405000,3795
0,1705
0,1412
325000,2355
389000,2868
12500,1148
265000,1121
37500,1364
94000,1080
20000,0
18000,1479
18000,4889
18000,2471
287000,3600
32000,1408
0,0
340000,1591
48000,2114
88000,1520
24500,2519
94000,1570
0,1753
0,3656
0,0
15000,0
0,1339
47500,1500
148500,1075
37000,2025
100000,1439
170000,1483
57000,4505
129000,1662
1500,2591
146500,2428
30500,1128
346500,2717
195000,2113
928000,5281
0,2321
119500,1476
150000,2408
0,2231
80000,900
260000,962
23000,1500
262000,1704
515000,2820
92000,1606
460000,3240
128000,1697
0,1740
200000,2035
0,2139
117000,1830
0,0
0,1798
0,1160
200000,1690
0,0
0,0
0,5611
0,14490
0,4037
0,0
105000,1000
0,1589
0,1960
262000,2561
27500,1248
0,1421
0,5102
0,0
150000,2006
0,1861
0,0
925000,7860
0,3312
0,0
369500,2468
164500,1371
0,12112
0,2570
0,0
0,339228
0,0
105000,1507
0,20812
260000,1862
430000,4740
0,7200
0,3730
48000,1726
42500,1655
775000,17160
0,1980
129000,1462
300000,1113
805000,3562
457500,3743
3000000,35236
3000000,4410
0,3706
168000,1308
105000,1558
230000,3692
0,2752
345000,1321
0,1064
0,0
0,0
0,884
0,1176
15500000,24006
15500000,27850
15500000,1092
0,1443
0,1350
0,1404
1000,0
0,0
190000,1275
30000,1022
140000,2400
104000,1522
92500,1972
1105000,3677
55000,0
33500,1465
165000,1479
113500,2556
226500,4071
198500,1215
152000,1894
415000,2636
0,0
0,1500
88500,1390
257500,2426
99000,23750
180000,2205
0,2604
0,1704
240000,2673
51000,4500
0,0
0,0
240000,2992
65000,1040
0,0
42000,1798
0,0
125000,1144
95000,1716
12000,1400
101000,1680
28000,768
0,1532
0,1328
75000,1579
0,1272
147000,1330
35000,875
65500,1012
0,0
0,1425
12500,1220
0,978
148000,1491
157000,2612
120000,1596
350000,0
12500,1344
97000,1040
0,1442
0,1470
139000,1928
39000,1325
103000,1182
3000,1402
0,0
50000,2025
32500,2086
100000,1175
0,2090
105000,1400
225000,2292
72500,1188
120000,0
179000,1012
109000,1959
1000,0
76500,3526
240000,2524
128500,2186
0,2170
67000,755
194500,2619
0,1325
477000,1963
15000,0
0,1004
97000,1077
142500,4384
142500,3600
142500,5232
312000,3508
98500,1876
540000,4852
47850000,249480
0,4540
67000,2809
95000,1419
1300000,1200
800000,8016
2525000,7204
2525000,4430
2525000,9612
1471000,2988
0,0
25000,0
791500,3900
791500,2000
167000,2964
20000,1584
290000,1886
290000,448
150000,1736
583000,2852
93000,3016
0,1320
60000,1114
77000,3058
25000,984
0,0
0,1150
55500,1424
0,676
0,676
0,1687
0,975
450000,3786
120000,1544
175000,2037
204000,1946
220000,936
450000,3856
160000,1620
63000,1714
20000,1212
0,1131
0,0
870000,15196
870000,880
870000,5250
8507000,11931
8507000,16720
8507000,11460
0,0
0,2186
295000,3724
125000,0
489000,1498
144000,2658
165000,1699
165000,3100
129000,2485
155000,1680
74000,989
74000,1906
121500,1870
107500,2316
0,0
26000,1727
150000,0
250000,2318
1800000,16958
286000,2015
74000,2462
0,0
390000,1707
0,2077
229000,1956
0,1591
51000,1080
0,1296
98400,1800
505000,1967
2500,1269
0,3184
96000,1080
315000,1406
84000,1122
199500,1348
314000,2420
44500,1605
0,2241
0,1044
180000,2814
0,1993
0,1334
1000,4000
380000,1586
95000,952
210000,1060
0,4806
0,2160
0,1248
27000,1425
0,975
39500,640
230000,2815
358000,1328
98500,2126
0,1196
90000,1248
551500,3017
29000,1617
0,2721
86000,1638
138000,1622
11000,1160
255000,827
70000,2131
55000,1203
11000,0
152000,2966
62000,1326
0,738
296000,3996
27500,1253
40000,1216
118000,2196
94000,2081
0,0
7500,975
43000,2253
0,1248
27500,1741
245000,1915
14000,0
0,1456
59000,1008
0,0
0,2054
374000,1732
127000,2164
188000,1416
104000,1239
107000,1125
0,0
0,0
0,2052
72000,1011
101000,968
71500,1000
0,2123
370000,4308
2000,1838
0,0
900000,3031
131000,1986
541000,3951
0,0
0,0
0,3678
1100000,10920
460000,1792
0,0
0,0
47000,1092
105000,1292
0,708
242500,0
0,0
0,1352
0,0
1000,586
50000,992
62500,2029
54500,1815
83000,1242
107500,1568
80000,1302
160000,1793
250000,1485
470000,2693
255000,3508
142500,2193
0,4519
0,975
0,800
0,0
0,0
0,1272
0,1026
225000,916
452000,0
262000,2103
63000,1176
26500,1580
417500,2978
0,0
0,0
0,1500
0,1792
0,768
0,2756
415000,3510
335000,2317
188000,1008
305000,1140
155000,1753
350000,1628
0,884
1000000,3257
0,1456
28000,1395
117000,1911
69000,720
520000,3042
0,0
2000,1950
35500,1636
0,1805
0,3600
0,5160
375000,2434
375000,1772
0,0
270000,1996
817000,3000
150000,2286
0,0
60000,898
410000,1819
345000,1514
373500,1962
0,2995
267500,2149
0,1800
90000,1492
108000,1142
672000,0
0,957
240000,6792
1300000,2852
0,1650
113000,820
435000,1800
48000,1515
62000,1411
40000,975
190000,2744
211000,3841
300000,1072
130000,1012
287000,1418
0,1828
0,0
120000,0
121000,0
0,0
210000,1431
142000,1580
240000,1280
187500,1216
31500,936
308000,1697
12500,697
12500,697
262500,1280
222500,1080
555000,2696
185000,1137
97000,1230
138000,2158
0,0
0,0
0,1840
225000,2412
93000,960
340000,1323
281000,1174
260000,1349
0,1025
1500,1641
0,1354
0,0
0,1456
143000,1436
770000,4392
0,1065
31000,2046
0,3997
0,0
30000,0
103000,1534
200000,2208
1475000,3873
300000,6204
145000,1941
72500,1413
0,2592
340500,1241
34500,1728
289000,2627
0,0
90000,992
142500,1825
0,2072
105000,1296
492000,2224
0,1500
120000,2991
265000,1410
190000,3674
52000,1107
0,2440
165000,2562
0,1266
60000,1000
142000,924
530000,2560
81000,1299
200000,1707
195000,1791
127000,1687
144000,1592
16000,972
160000,1500
260000,5328
0,1508
0,1508
0,1508
116500,2393
385000,3273
165000,2107
97500,2218
700000,7560
700000,2400
0,2396
510000,2671
270000,1811
15500,796
0,1404
160000,1488
0,0
0,4629
0,2400
34000,1713
1000,968
0,0
35000,0
36000,0
219000,2620
55000,2241
0,2767
0,2442
0,0
350000,2346
77000,1875
405000,2428
55000,1012
500,0
0,1308
2500,864
17000,832
0,0
0,975
50000,1856
0,1809
0,0
0,0
44500,1060
2500,0
33500,2048
27500,1551
0,1291
0,0
0,0
0,0
110000,1458
115000,3243
135900,2742
